,Wine,Alcohol,Malic.acid,Ash,Color.int,Hue,HUE OD
0,1,14.23,1.71,2.43,5.64,1.04,4.96
1,1,13.2,1.78,2.14,4.38,1.05,4.45
2,1,13.16,2.36,2.67,5.68,1.03,4.2
3,1,14.37,1.95,2.5,7.8,0.86,4.3100000000000005
4,1,13.24,2.59,2.87,4.32,1.04,3.97
5,1,14.2,1.76,2.45,6.75,1.05,3.9000000000000004
6,1,14.39,1.87,2.45,5.25,1.02,4.6
7,1,14.06,2.15,2.61,5.05,1.06,4.640000000000001
8,1,14.83,1.64,2.17,5.2,1.08,3.93
9,1,13.86,1.35,2.27,7.22,1.01,4.56
10,1,14.1,2.16,2.3,5.75,1.25,4.42
11,1,14.12,1.48,2.32,5.0,1.17,3.9899999999999998
12,1,13.75,1.73,2.41,5.6,1.15,4.05
13,1,14.75,1.73,2.39,5.4,1.25,3.98
14,1,14.38,1.87,2.38,7.5,1.2,4.2
15,1,13.63,1.81,2.7,7.3,1.28,4.16
16,1,14.3,1.92,2.72,6.2,1.07,3.7199999999999998
17,1,13.83,1.57,2.62,6.6,1.13,3.6999999999999997
18,1,14.19,1.59,2.48,8.7,1.23,4.05
19,1,13.64,3.1,2.56,5.1,0.96,4.32
20,1,14.06,1.63,2.28,5.65,1.09,4.8
21,1,12.93,3.8,2.65,4.5,1.03,4.55
22,1,13.71,1.86,2.36,3.8,1.11,5.11
23,1,12.85,1.6,2.52,3.93,1.09,4.72
24,1,13.5,1.81,2.61,3.52,1.12,4.9399999999999995
25,1,13.05,2.05,3.22,3.58,1.13,4.33
26,1,13.39,1.77,2.62,4.8,0.92,4.140000000000001
27,1,13.3,1.72,2.14,3.95,1.02,3.79
28,1,13.87,1.9,2.8,4.5,1.25,4.65
29,1,14.02,1.68,2.21,4.7,1.04,4.63
30,1,13.73,1.5,2.7,5.7,1.19,3.9
31,1,13.58,1.66,2.36,6.9,1.09,3.9699999999999998
32,1,13.68,1.83,2.36,3.84,1.23,4.1
33,1,13.76,1.53,2.7,5.4,1.25,4.25
34,1,13.51,1.8,2.65,4.2,1.1,3.97
35,1,13.48,1.81,2.41,5.1,1.04,4.51
36,1,13.28,1.64,2.84,4.6,1.09,3.87
37,1,13.05,1.65,2.55,4.25,1.12,3.63
38,1,13.07,1.5,2.1,3.7,1.18,3.87
39,1,14.22,3.99,2.51,5.1,0.89,4.42
40,1,13.56,1.71,2.31,6.13,0.95,4.33
41,1,13.41,3.84,2.12,4.28,0.91,3.91
42,1,13.88,1.89,2.59,5.43,0.88,4.44
43,1,13.24,3.98,2.29,4.36,0.82,3.82
44,1,13.05,1.77,2.1,5.04,0.88,4.23
45,1,14.21,4.04,2.44,5.24,0.87,4.2
46,1,14.38,3.59,2.28,4.9,1.04,4.48
47,1,13.9,1.68,2.12,6.1,0.91,4.24
48,1,14.1,2.02,2.4,6.2,1.07,3.8200000000000003
49,1,13.94,1.73,2.27,8.9,1.12,4.220000000000001
50,1,13.05,1.73,2.04,7.2,1.12,4.03
51,1,13.83,1.65,2.6,5.6,1.24,4.61
52,1,13.82,1.75,2.42,7.05,1.01,4.27
53,1,13.77,1.9,2.68,6.3,1.13,4.0600000000000005
54,1,13.74,1.67,2.25,5.85,0.92,4.12
55,1,13.56,1.73,2.46,6.25,0.98,4.01
56,1,14.22,1.7,2.3,6.38,0.94,4.25
57,1,13.29,1.97,2.68,6.0,1.07,3.91
58,1,13.72,1.43,2.5,6.8,0.89,3.7600000000000002
59,2,12.37,0.94,1.36,1.95,1.05,2.87
60,2,12.33,1.1,2.28,3.27,1.25,2.92
